Valence,Arousal,Comentario
0.0,0.0,"""RT @Pouyalilpou: LIL PEEP WAS FUNNY AS FUCK DO NOT SLEEP 😂😂😂 https://t.co/GyB9vjloAU"""
6.734188481675393,5.597113402061856,"""@ArtscapeTheatre  URINETOWN presented by The Waterfront Theatre College Hilariously funny"","" touchingly honest with a… https://t.co/6eECLMysm2"""
7.17,5.96,"""dispatch never releases sht without proof this is funny"""
6.190938662662549,5.540522517481952,"""After that rally in SC"","" so proud of my Presz. Funny his net worth is going down"","" never happened to any other Pres.… https://t.co/j5zvdlZonn"""
5.599463643220712,5.983333630460692,"""RT @JHSMlCDROP: Namjoon really a whole man out here making friends with little cute animals"","" writing good ass music"","" producing"","" being educa…"""
3.489590643274854,6.358302872062663,"""@Rbantam @realDonaldTrump You were afraid we would (naturally) think you were talking about Maxine! You had to add… https://t.co/3iPQT8Bs2U"""
0.0,0.0,"""@Cory_1077 That funny"""
5.288103360707616,6.612482269503545,"""@RealAlexJones Alex is telling funny stories again."""
4.699122302158273,4.547315141725869,"""RT @Graypets: @jkfecke Funny how none of these idiots claiming the platform switch is a """"hoax"""" never mention the name """"Richard Nixon"""" or wo…"""
6.108588380655705,6.754590577305906,"""@john_tyler646 @iamthatroby It's funny and I laughed = joke Also he set it up earlier in the film by saying """"but w… https://t.co/kAjeCY8Tqt"""
5.891102362204723,6.317101449275363,"""it took a while"","" but she finally said something that was close to funny https://t.co/zYWyjSqbNo"""
4.948296703296704,7.18236559139785,"""RT @jisungsvts: rt to be in a kpop gc - idc who you stan but preferably loona &amp; nct - no jams are not allowed  - be funny - semi-selective…"""
5.380152671755725,6.894747474747474,"""power struggle!taylor is so funny and hot we stan"""
3.7062527716186255,6.443333333333333,"""@dushud @AGameForKings @daveptson @realDonaldTrump Uhm"","" that war on drugs was a total failure. Let’s not get starte… https://t.co/GCR7n9DqAy"""
4.538936919754417,6.433308831826258,"""RT @cof94hogs: @Caroltastic92 @SharpTusk I’m looking awfully funny wearing same shirt now 10 games straight while working lol! Guess I’ll w…"""
